state,city,population,lat,lng,median_income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
AK,Anchor Point,2057.0,59.7703,-151.7052,51591.0,10.1,93.8,90.2,0.3,3.8,0.9,2.2
AK,Anchorage,253421.0,61.1508,-149.1091,78326.0,8.2,93.0,66.0,5.6,7.9,8.1,7.6
AK,Barrow,4178.0,,,76902.0,11.7,84.6,16.9,1.0,61.2,9.1,3.1
AK,Big Lake,3136.0,61.526,-149.9721,70988.0,9.6,90.4,86.1,0.2,7.0,0.5,3.1
AK,Copper Center,397.0,61.9845,-145.3544,39063.0,18.8,84.8,45.7,0.0,48.5,0.3,3.0
AK,Fairbanks,64732.0,64.8353,-147.6534,55229.0,13.1,91.2,66.1,9.0,10.0,3.6,9.0
AK,Houston,2347.0,61.6159,-149.8003,50438.0,14.8,90.2,82.2,0.4,6.7,0.6,3.3
AK,Juneau,25180.0,58.4546,-134.1739,85746.0,6.6,94.8,69.7,0.9,11.8,6.1,5.1
AK,Kasilof,483.0,60.331,-151.2293,65893.0,5.7,100.0,87.8,0.2,4.2,0.5,2.4
AK,Kenai Peninsula,4178.0,,,,,,,,,,
AK,Nikolaevsk,279.0,59.8295,-151.5964,23125.0,21.8,84.8,92.5,0.0,3.5,0.3,4.4
AK,North Pole,2101.0,64.753,-147.36,70536.0,7.5,92.1,79.6,5.4,3.4,4.0,6.1
AK,Palmer,7209.0,61.5971,-149.1147,61797.0,11.5,91.3,79.1,1.8,9.2,1.1,4.6
AK,Pilot Station,620.0,61.9422,-162.8828,33125.0,39.3,72.6,1.8,0.0,98.1,0.0,0.0
AK,Seward,2831.0,60.1124,-149.3925,53750.0,8.4,93.9,68.5,3.1,16.7,2.4,3.6
AK,Spenard,4178.0,,,,,,,,,,
AK,Wasilla,10151.0,61.577,-149.4661,61541.0,11.7,91.8,83.4,1.4,5.2,2.1,4.3
AL,Abbeville,2567.0,31.5664,-85.2528,25615.0,29.1,69.1,54.4,41.4,0.1,1.0,3.1
AL,Albertville,37220.0,34.2634,-86.2107,32911.0,26.7,72.7,75.9,1.9,0.8,0.5,27.9
AL,Anniston,75169.0,33.6713,-85.8136,29681.0,31.7,79.8,44.7,51.5,0.3,0.8,2.7
AL,Arab,8244.0,34.3309,-86.4991,40292.0,16.7,87.6,96.6,0.1,0.6,0.7,1.7
AL,Ariton,739.0,31.5978,-85.7131,24286.0,37.6,71.3,78.3,19.2,0.0,0.1,6.0
AL,Ashville,2291.0,33.8331,-86.2698,40547.0,28.3,77.6,75.8,20.3,0.2,0.3,3.8
AL,Atmore,6368.0,31.0927,-87.4763,26775.0,24.7,73.7,40.0,55.6,1.8,0.3,1.8
AL,Baldwin County,4178.0,,,,,,,,,,
AL,Barnwell,4178.0,,,,,,,,,,
AL,Bay Minette,8532.0,30.893,-87.7912,31576.0,26.3,79.1,60.4,35.3,1.0,0.8,1.8
AL,Birmingham,744189.0,33.5277,-86.7987,31061.0,30.9,85.1,22.3,73.4,0.2,1.0,3.6
AL,Brooksville,4178.0,,,,,,,,,,
AL,Chunchula,158.0,30.9237,-88.2072,,0.0,91.2,45.7,51.9,0.0,0.0,0.5
AL,Citronelle,3900.0,31.0952,-88.2467,48125.0,16.9,82.5,70.7,20.2,4.9,0.5,2.6
AL,Clanton,5876.0,32.8439,-86.623,39823.0,16.9,76.8,74.9,19.1,0.3,0.6,6.0
AL,Clay,9599.0,33.698,-86.6066,68717.0,6.6,92.2,84.1,13.3,0.3,0.6,1.3
AL,Coden,4178.0,,,,,,,,,,
AL,Crenshaw County,4178.0,,,,,,,,,,
AL,Dadeville,3106.0,32.8326,-85.7675,29368.0,28.8,73.7,50.2,47.5,0.3,0.6,0.9
AL,Daphne,69065.0,30.6286,-87.8866,60737.0,11.2,95.8,84.1,11.8,0.4,1.5,2.9
AL,Deer Park,81.0,31.2198,-88.3226,,28.1,86.3,31.9,66.5,0.0,0.0,1.6
AL,Demopolis,5907.0,32.498,-87.8298,27656.0,31.0,89.1,47.3,50.1,0.1,0.5,2.4
AL,Eastaboga,4178.0,,,,,,,,,,
AL,Eclectic,1020.0,32.6387,-86.0386,41304.0,13.4,84.2,86.4,11.0,0.4,0.0,1.3
AL,Elkmont,473.0,34.9291,-86.9767,39583.0,11.2,78.2,85.9,12.7,1.2,0.0,0.0
AL,Eufaula,8727.0,31.9102,-85.1505,32845.0,25.3,81.5,51.0,44.6,0.5,0.6,4.3
AL,Fairhope,20935.0,30.522,-87.8816,61489.0,11.2,95.4,91.1,6.2,0.2,0.7,2.8
AL,Florence,78112.0,34.8303,-87.6654,35731.0,24.6,84.4,75.0,19.4,0.4,1.4,3.6
AL,Gadsden,61656.0,34.009,-86.0156,29136.0,29.4,78.3,57.3,36.3,0.4,0.6,5.4
AL,Gordo,1644.0,33.322,-87.904,30781.0,26.3,80.4,58.9,37.8,0.2,0.2,1.5
AL,Hamilton,6646.0,34.1346,-87.9755,33053.0,18.5,82.7,89.3,7.7,0.4,0.2,3.1
AL,Hanceville,3352.0,34.0634,-86.7652,29231.0,25.8,77.7,92.4,3.6,0.2,0.7,2.4
AL,Haynesville,4178.0,,,,,,,,,,
AL,Homewood,25476.0,33.4617,-86.8092,61626.0,12.7,93.5,74.6,17.3,0.2,2.2,7.3
AL,Hoover,84920.0,33.3754,-86.8065,77146.0,6.0,95.2,75.1,14.8,0.2,5.1,6.0
AL,Huntsville,309716.0,34.6988,-86.6412,48775.0,18.2,90.2,60.3,31.2,0.6,2.4,5.8
AL,Jackson County,4178.0,,,,,,,,,,
AL,Jacksonville,12612.0,33.8088,-85.7544,38903.0,31.2,89.0,68.7,26.8,0.5,1.3,2.3
AL,Killeen,4178.0,,,,,,,,,,
AL,Lawrence County,4178.0,,,,,,,,,,
AL,Leeds,12031.0,33.5429,-86.5636,52689.0,15.4,87.2,78.7,14.3,0.4,0.6,6.6
AL,Luverne,2770.0,31.7186,-86.2687,29844.0,20.3,77.9,62.6,29.6,0.3,5.5,1.9
AL,Macon County,4178.0,,,,,,,,,,
AL,Madison,48861.0,34.7114,-86.7626,92960.0,6.7,95.7,74.0,14.6,0.5,7.0,4.3
AL,Meridianville,6731.0,34.8729,-86.5722,68368.0,15.4,86.6,76.3,18.5,0.7,1.7,2.7
AL,Millbrook,15318.0,32.5035,-86.3728,58330.0,11.6,91.3,74.2,21.6,0.4,0.8,2.8
AL,Mobile,318084.0,30.6782,-88.1163,38776.0,23.3,86.9,45.0,50.6,0.3,1.8,2.4
AL,Monroeville,4395.0,31.5162,-87.3279,30678.0,36.7,82.3,42.1,55.7,0.3,0.3,0.8
AL,Montgomery,255908.0,32.3473,-86.2666,42927.0,24.1,85.5,37.3,56.6,0.2,2.2,3.9
AL,Morris,1970.0,33.7467,-86.8036,70043.0,5.8,84.9,97.7,1.0,0.1,0.3,1.1
AL,Muscle Shoals,14022.0,34.7435,-87.6343,48896.0,10.7,88.7,80.6,15.3,0.3,0.9,2.7
AL,Ohatchee,1157.0,33.7877,-86.0278,51688.0,14.8,82.0,94.1,3.2,0.6,0.0,0.6
AL,Opelika,30240.0,32.6621,-85.3772,40489.0,23.0,83.7,50.6,43.5,0.3,1.7,4.4
AL,Opp,4668.0,31.2848,-86.257,34695.0,25.9,77.4,80.9,16.7,0.6,0.3,0.9
AL,Oxford,21180.0,33.5966,-85.869,51375.0,11.7,83.5,80.5,12.6,0.4,1.1,6.6
