longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,avg_household_size,avg_rooms_per_house,ratio_dayrooms_bedrooms,bedrooms_per_person,oc_pr_<1H OCEAN,oc_pr_INLAND,oc_pr_ISLAND,oc_pr_NEAR BAY,oc_pr_NEAR OCEAN,median_house_value
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,2.5555555555555554,6.984126984126984,5.821705426356589,0.40062111801242234,0,0,0,1,0,452600.0
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,2.109841827768014,6.238137082601054,5.418625678119349,0.4606413994169096,0,0,0,1,0,358500.0
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,2.8022598870056497,8.288135593220339,6.721052631578948,0.38306451612903225,0,0,0,1,0,352100.0
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,2.547945205479452,5.8173515981735155,4.421276595744681,0.4211469534050179,0,0,0,1,0,341300.0
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,2.1814671814671813,6.281853281853282,4.810714285714286,0.49557522123893805,0,0,0,1,0,342200.0
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,2.139896373056995,4.761658031088083,3.3145539906103285,0.5157384987893463,0,0,0,1,0,269700.0
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,2.1284046692607004,4.9319066147859925,4.184049079754601,0.4469835466179159,0,0,0,1,0,299200.0
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,1.7882534775888717,4.797527047913447,3.518195050946143,0.5937770095073466,0,0,0,1,0,241400.0
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,2.026890756302521,4.294117647058823,2.8421052631578947,0.5514096185737977,0,0,0,1,0,226700.0
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,2.172268907563025,4.970588235294118,4.01980198019802,0.4558349451966473,0,0,0,1,0,261100.0
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,2.263681592039801,5.477611940298507,4.073732718894009,0.47692307692307695,0,0,0,1,0,281500.0
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,2.0490463215258856,4.772479564032698,3.658244680851064,0.5,0,0,0,1,0,241800.0
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,2.3461538461538463,5.322649572649572,4.255274261603375,0.43169398907103823,0,0,0,1,0,213500.0
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,1.9827586206896552,4.0,2.643979057591623,0.553623188405797,0,0,0,1,0,191300.0
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,1.9548387096774194,4.262903225806451,3.2220447284345046,0.5165016501650165,0,0,0,1,0,159200.0
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,2.640151515151515,4.242424242424242,2.9575971731448765,0.406025824964132,0,0,0,1,0,140000.0
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,2.395770392749245,5.9395770392749245,4.665706051873199,0.43757881462799497,0,0,0,1,0,152500.0
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,2.1386138613861387,4.052805280528053,3.1911262798634814,0.4521604938271605,0,0,0,1,0,155500.0
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,2.3627684964200477,5.343675417661098,3.9208791208791207,0.4595959595959596,0,0,0,1,0,158700.0
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,2.5090909090909093,5.465454545454546,4.043624161073826,0.4318840579710145,0,0,0,1,0,162900.0
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,2.463855421686747,4.524096385542169,3.0815217391304346,0.44987775061124696,0,0,0,1,0,147500.0
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,2.5382513661202184,4.478142076502732,3.465940054495913,0.395048439181916,0,0,0,1,0,159800.0
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,2.1234309623430963,5.096234309623431,3.502772643253235,0.5330049261083744,0,0,0,1,0,113900.0
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,2.624615384615385,5.193846153846154,4.008902077151335,0.3950762016412661,0,0,0,1,0,99700.0
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,2.3838862559241707,5.270142180094787,4.089244851258581,0.43439363817097415,0,0,0,1,0,132600.0
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,2.6638655462184873,4.495798319327731,3.3495934959349594,0.38801261829652994,0,0,0,1,0,107500.0
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,2.5397489539748954,4.7280334728033475,3.6311475409836067,0.40197693574958815,0,0,0,1,0,93800.0
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,2.7758186397984885,4.7808564231738035,3.508313539192399,0.382032667876588,0,0,0,1,0,105500.0
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,2.3911205073995774,4.40169133192389,3.231707317073171,0.4350132625994695,0,0,0,1,0,108900.0
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,2.5483870967741935,4.703225806451613,3.55625,0.4050632911392405,0,0,0,1,0,132000.0
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,2.2830687830687832,5.068783068783069,3.286353467561521,0.5179606025492468,0,0,0,1,0,122300.0
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,2.6485260770975056,4.882086167800454,3.4760914760914763,0.4118150684931507,0,0,0,1,0,115200.0
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,3.062686567164179,5.737313432835821,3.6992665036674817,0.398635477582846,0,0,0,1,0,110400.0
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,2.291793313069909,5.0303951367781155,3.521857923497268,0.4854111405835544,0,0,0,1,0,104900.0
-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,2.3470149253731343,4.972014925373134,3.642857142857143,0.4562798092209857,0,0,0,1,0,109700.0
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,2.159090909090909,4.6022727272727275,3.3085106382978724,0.49473684210526314,0,0,0,1,0,97200.0
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,2.6390374331550803,4.807486631016043,3.162037037037037,0.4376899696048632,0,0,0,1,0,104500.0
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,2.235732009925558,3.7493796526054592,2.8743589743589744,0.4328523862375139,0,0,0,1,0,103900.0
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,2.2297734627831716,4.757281553398058,3.4545454545454546,0.47895500725689405,0,0,0,1,0,191400.0
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,1.978448275862069,3.4942528735632186,2.4013986013986015,0.5192447349310094,0,0,0,1,0,176000.0
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,2.3949367088607594,4.215189873417722,2.9737470167064437,0.4429175475687104,0,0,0,1,0,155400.0
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,2.076305220883534,3.7590361445783134,2.009646302250804,0.6015473887814313,0,0,0,1,0,150000.0
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,2.4444444444444446,3.7724867724867726,2.5297029702970297,0.43722943722943725,0,0,0,1,0,118800.0
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,2.3585858585858586,4.797979797979798,3.702970297029703,0.43254817987152033,0,0,0,1,0,188800.0
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,2.26027397260274,4.941780821917808,3.639871382636656,0.4712121212121212,0,0,0,1,0,184400.0
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,1.8795811518324608,4.335078534031414,2.942857142857143,0.584958217270195,0,0,0,1,0,182300.0
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,2.026315789473684,3.700657894736842,2.4937888198757765,0.5227272727272727,0,0,0,1,0,142500.0
-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,2.205533596837945,3.9802371541501977,2.2275641025641026,0.5591397849462365,0,0,0,1,0,137500.0
-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,2.64375,3.9,2.2,0.46099290780141844,0,0,0,1,0,187500.0
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,1.9886363636363635,2.6875,1.5226666666666666,0.5357142857142857,0,0,0,1,0,112500.0
-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,1.678082191780822,2.045662100456621,0.977924944812362,0.6163265306122448,0,0,0,1,0,171900.0
-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,2.6068796068796067,4.58968058968059,3.0964912280701755,0.4297832233741753,0,0,0,1,0,93800.0
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,2.720833333333333,4.473611111111111,2.776084407971864,0.43542623787646756,0,0,0,1,0,97500.0
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,2.905,4.075,2.574561403508772,0.3924268502581756,0,0,0,1,0,104200.0
-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,3.0085836909871246,5.021459227467811,3.978723404255319,0.33523537803138376,0,0,0,1,0,87500.0
-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,2.618181818181818,4.295454545454546,2.888888888888889,0.421875,0,0,0,1,0,83100.0
